,precision,recall,f1-score,support
Bacterial Blight,0.9820627802690582,0.8455598455598455,0.9087136929460581,259.0
Brown Spot,0.8809523809523809,0.9024390243902439,0.891566265060241,205.0
Healthy,0.9290780141843972,0.9961977186311787,0.9614678899082569,263.0
Leaf Blast,0.8350515463917526,0.8617021276595744,0.8481675392670157,188.0
Leaf Smut,0.7631578947368421,1.0,0.8656716417910447,29.0
Tungro,0.979381443298969,0.9644670050761421,0.9718670076726342,197.0
accuracy,0.9176161262050833,0.9176161262050833,0.9176161262050833,0.9176161262050833
macro avg,0.8949473433055668,0.9283942868861641,0.9079090061075418,1141.0
weighted avg,0.9214342067610302,0.9176161262050833,0.91762643414715,1141.0
